"GEMS TARIFF FOR SERVICES BY RADIOGRAPHERS
WITH EFFECT FROM 2026-01-01",,039 - Radiography
Tariff Code,Tariff Description,2026 Tariff Value 
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",
,"For tariff codes 001, 003 and 017, providers are required to indicate the region in the submission of the claims for reimbursement. 
The fee for tariff code 300 is included in the comprehensive procedure codes and is not billed separately
 

",
0089,"The number of sections of each examination and the matrix number must be specified. A full series of sections would be 8 or more for brain examinations, 12 or more for chest examinations, and 16 or more for abdomen examinations. Fees for examinations on a matrix number of less than 250 shall be reduced by 50%",
10,MISCELLANEOUS,
167,Fluoroscopy: Per half hour: Add (not applicable to items 107 and 109),R156.20
169,Where a C-arm portable x-ray unit is used in hospital or theatre: Per half hour: Add,R215.60
171,Sinography,R323.00
173,Bone densitometry,R589.70
175,Mammography: Unilateral or bilateral,R826.90
177,"Repeat mammography, unilateral or bilateral for localisation of tumour",R724.20
179,Attendance at operation in theatre or at radiological procedure performed by a surgeon or physician in x-ray department except 005: Per 1/2 hour: Plus fee for examination performed,R128.30
181,Setting of sterile trays,R21.90
," Films are to be charged (exclusive of VAT) at net acquisition price plus -

* 26% of the net acquisition price where the net acquisition price of that material is less than one hundred rands; and

* a maximum of twenty six rands where the net acquisition price of that material is greater than or equal to one hundred rands.
",
300,"X-Ray films
The fee for tariff code 300 is included in the comprehensive procedure codes and is not billed separately",R0.00
,ATTENDANCE IN CATHETERISATION LABORATORY,
,Use codes 191 to 193 to charge for radiographer input where that is not included in cath lab facility fee,
191,Preparation in catheterisation laboratory for purposes of cardiac catheterisation and/or invasive intravascular procedures.,R313.30
192,Post-processing in catheterisation laboratory for purposes of cardiac catheterisation and/or invasive intravascular procedures,R313.30
193,Coronary angiogram per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
194,Right heart investigation of valve and venous system of the right heart,R313.30
195,PTCA per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
196,Left heart investigation of valve of the left heart and ventrical,R314.30
197,Stent procedure per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
199,Vascular Study per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
201,Temporary pacemaker procedure per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
203,Permanent pacemaker procedure in catheterisation laboratory per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
205,Intra-aortic balloon pump procedure per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
207,Electro-physiological studies per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
209,Bleomycine and other studies per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
211,Intra vascular ultrasound per 30 minutes of part thereof provided that such part comprises 50% or more of the time,R313.30
213,Rotablator/Laser procedures per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
215,Embolisation per 30 minutes or part thereof provided that such part comprises 50% or more of the time,R313.30
,RULES,
Z,No fee to be subject to more than one reduction,
11,PORTABLE UNIT EXAMINATIONS,
185,Where portable x-ray unit is used in the hospital or theatre: Add,R141.40
187,Theatre investigations with fixed installation : Add,R60.40
