"GEMS TARIFF  FOR SERVICES BY REGISTERED NURSES IN PRIVATE PRACTICE AND NURSING AGENCIES
WITH EFFECT FROM 2026-01-01",,080 - Nursing Agencies/Home Care Services,088 - Registered Nurses
454,Supply of Vaccine (only for nurses with Section 22A (15) Permit),,R0.00
,PSYCHIATRIC NURSING THERAPY,,
,Psychiatric Nursing Therapy may only be performed by a nurse with a psychiatric nursing qualification registered as such with the SANC,,
500,"Individual interview/assessment. Adult, child, school, employer - per hour.",,R435.80
501,Individual therapy. (irrespective of time),,R619.30
502,Family/marital/group per patient - specify number.,,R125.40
503,Play therapy/Home stimulation programme.,,R341.10
504,Co-therapist.,,R341.10
,RENAL DIALYSIS,,
092,Peritoneal dialysis per day,R341.10,R341.10
608,Home dialysis training in centre per 30 minutes,R323.40,R323.40
610,Home dialysis training or follow up at patient's home per 30 minutes (to maximum of 24 hours),R569.10,R569.10
612,"Home dialysis
1. Preparation of extra corporeal equipment
2. Preparation of needling patient's fistula and attaching patients to Haemodialysis machine or using subclavian catheter/permanent catheter/femerol catheter
3. Observation of patient whilst on dialysis
4. Monitoring Haemodialysis machine readings
5. Doing necessary nursing procedures to patient as required e.g. catheter site/wounds/mouth care, nursing care in general/helping to feed/prepare light meal/tea etc for patient whilst on dialysis
6. Termination of procedures e.g. giving blood back to patient and disposable of extra corporeal lines etc
7. Port dialysis observation of patient
8. Cleaning and sterilisation of dialysis machine and Reverse Osmosis machine","R1,291.60","R1,291.60"
,MEDICINES AND MATERIALS,,
301,"Consumables used, and charged according to rule 05",,
,GEMS PREVENTATIVE SCREENING BENEFITS: NURSES IN-HOUSE TARIFF CODES,,
99370,Glucose Screening Test ,R0.00,R79.50
99371,Blood Pressure Monitor,R0.00,R21.60
99384,Cholesterol screening,R0.00,R122.60
99376,HIV Pre-Test Counselling,R0.00,R39.10
99377,HIV and AIDS testing and post,R0.00,R245.70
99381,Pregnancy screening,R0.00,R79.50
99382,Urine analysis,R0.00,R79.50
99383,Peak Flow Measurement,R0.00,R58.00
99378,Administration of Immunization,R0.00,R58.00
99385,Sterile tray and specimen handling fee,R0.00,R166.00
