"GEMS TARIFF FOR SERVICES BY CLINICAL TECHNOLOGISTS
WITH EFFECT FROM 2026-01-01",,075 - Clinical Technology
139,Each additional hour or part thereof provided that such part comprises 50% or more of the time.,R670.60
141,Intra-operative EEG (carotid endarterectomy).,R475.40
143,Transcranial or Carotid Doppler (bilateral).,R712.10
,Dialysis,
145,"Preparation of extra-corporeal equipment: Haemoperfusion (HP), Haemofiltration (HF), Haemoconcentration (HC), Continuous renal replacement therapy (CRRT), Aphaeresis, Auto transfusion and cell recovery (AT).",R836.70
146,Chronic haemodialysis (acetate dialysate),"R2,664.60"
148,Chronic haemodialysis (bicarbonate dialysate),"R2,846.30"
,"In the case of items 146 and 148, routine outpatient dialysis includes dialyser, bloodlines, acetate dialysate, priming set, sodium heparin anticoagulant, saline infusion, dressing pack, fistula needles/catheter dressing, syringes and needles, cleaning materials, equipment set-up, up to 5 hours treatment time, equipment rental",R0.00
147,"Peritoneal dialysis, per day",R303.90
,"The global fees for Continuous Ambulatory Peritoneal Dialysis (CAPD) (Item 176) and Automated Peritoneal Dialysis (APD) (Item 177) include: consumables; cost of machine and machine disposables; professional fee; initial training; in-centre follow-up visits; and home visits.  However, they exclude Tenckhoff catheter and insertion thereof; and disposables required for a transfer set change (usually 6 monthly).

These fees are chargeable for each 30 day cycle in which CAPD or APD is provided.  If CAPD or APD is provided for less than a 30 days in any one cycle (for example due to complications or death of the patient):

a. if the period of treatment is 26 days or more in that cycle, the full fee applies;

b. if the period of treatment is up to 25 days in that cycle, the fee should be prorated according to number of actual treatment days.  Modifier 0001 should be quoted, and number of treatment days specified.",
176,"Global fee for Continuous Ambulatory Peritoneal Dialysis (CAPD), per 30 day period.","R30,727.40"
177,"Global fee for Automated Peritoneal Dialysis (APD), per 30 day period.","R42,656.50"
149,"Treatment procedure per 1 hour (excluding acute haemodialysis, chronic haemodialysis and CRRT)",R603.60
150,Acute haemodialysis,"R5,656.70"
,"Emergency dialysis treatment in hospital; includes dialyser, bloodlines, acetate/bicarbonate dialysate, priming set, equipment set-up, up to 5 hours treatment time, equipment rental",
151,Treatment procedures for CRRT up to 6 hours or part thereof provided that such part comprises 50% or more of the time,R448.20
152,Treatment procedure for CRRT up to 12 hours or part thereof provided that such part comprises more than 6 hours of the time,R898.30
154,Treatment procedure for CRRT up to 18 hours or part thereof provided that such part comprises more than 12 hours of the time,"R1,346.80"
156,Treatment procedure for CRRT up to 24 hours or part thereof provided that such part comprises more than 18 hours of the time,"R1,794.90"
153,"Patient training in centre for dialysis, CPAP training and problem-solving, home ventilators and nebulisers, per 30 minutes (to maximum of 24 hours)",R300.30
155,"Patient training or follow-up at patient's home, for dialysis, home ventilators and nebulisers, per 30 minutes (to maximum of 24 hours).",R526.00
97443,"Global Fee Assisted Home Haemodialysis: per 30-day period
This code includes: the treatment procedure cost, dialyser, bloodlines, haemofiltration kits, materials (dialysates, collection bags, syringes, needles, saline, locks, heparin, solution sets, admin trays, gauze and gloves), priming set, equipment set up, up to 5 hours treatment time, equipment rental, travel to and from the patient’s home, professional fee","R72,664.60"
97444,"Mobile Chronic Haemodialysis for hospitalised patients (ICU, high care and general ward)","R4,071.60"
,Reproductive Health,
,"As schemes will not necessarily grant benefits in respect of some items below, they fall into the \""By arrangement with the scheme\"" category",
159,Post Vasectomy semen analysis.,R180.70
161,Complete semen analysis.,R572.90
