"GEMS OPTOMETRY TARIFFS
WITH EFFECT FROM 2026-01-01",,070 - Network Optometrists,
Tariff Code,Tariff Description,2026 Tariff values,Flag
19001,Clinical Report,R209.60,
11806,Corneoscleral Impression Molding,R0.00,N
11905,AI/External Diagnostic Analysis,R0.00,N
19002,AI/External Diagnostic Software Report,R0.00,N
23801,OTC Eyedrops,,
23907,Contact Lens Solutions ,,
23919,Contact Lens Accessories ,,
24022,Rigid Contact Lens,,
24024,Rigid Scleral Contact lens,,
24202,Bifocal Rigid Lens,,
25412,Fenestration Rigid Lens (per hole),,
25512,Truncation Rigid Lens,,
26012,Laboratory Service / Modification / Polish,,
26115,Analysis of Rigid Lens,,
27145,CLL Hand Painted Prosthetic with black pupil and opaque backing (Contaflex 38%) Occluder,"R6,430.40",
27146,Ultravision Kerasoft IC 77% with exchange,"R3,066.70",
27147,Ultravision Kerasoft 2 49% with exchange,"R4,025.00",
27148,Ultravision Kerasoft 3  (Silicone Hydrogel 74%),"R3,258.30",
27150,CLL Soft Haptic 38% Prosthetic,"R5,612.00",
27151,CLL Hand Painted Prosthetic with clear pupil and opaque backing (Contaflex 38%) Pinhole,"R5,797.90",
27152,Menicon Rose K Soft with exchange,"R3,641.70",
27155,CLL Dark Brown Iris Prosthetic with Black pupil,"R2,108.30",
27156,CLL Dark Brown Iris Prosthetic with black pupil and opaque backing (Contaflex 38%) Occluder,"R2,846.30",
27157,CLL Dark Brown Iris with clear pupil and opaque backing (Contaflex 38%),"R2,213.80",
27158,CLL Dark Brown Iris with clear pupil (Contaflex 38%) Pinhole / Albinism,"R1,686.70",
27165,CLL Field Eyes (sports tint),"R1,840.00",
27170,CLL Enhancing Iris Tint,"R1,686.70",
27175,CLL Hand Painted Theatricals,,
27185,CLL Clear lens with Black pupil (Contaflex 38%),"R1,686.70",
27186,CLL Clear lens with Black pupil and opaque backing (Contaflex 38%),"R1,939.70",
27327,CLL Trusphere / Z-Sphere Soft (up to 60%),"R1,265.00",
27329,CLL Trusphere / Z-Sphere Soft (higher than 60%),"R1,652.20",
27370,Ultravision Prosthetic Soft Plano base lens,"R6,900.00",S
27371,Ultravision Prosthetic Soft Spherical base lens,"R6,900.00",S
27372,Ultravision Prosthetic Soft Toric base lens,"R8,816.70",S
27386,SV 1.50 Acclimates Rx,"R3,450.00",
27387,1.50 DriveWear Gray 3 & Brown Spheric / Aspheric,"R3,737.50",
27388,1.50 Polarized (Gray 3; Brown & Green) Spheric,"R4,092.10",
27389,1.53 TRIVEX Spheric / Aspheric,"R4,379.60",
27800,Synergeyes A unwarranted,"R3,583.90",S
27802,Synergeyes KC unwarranted,"R3,583.90",S
27804,Synergeyes PS unwarranted,"R3,583.90",S
27806,Synergeyes CK unwarranted,"R3,583.90",S
27808,Duette unwarranted,"R3,288.00",S
27810,Duette Multifocal unwarranted,"R3,814.00",S
27812,Ultra Health ™ - Kerataconus unwarranted,"R4,504.50",S
27814,Synergeyes iD Single Vision unwarranted,"R3,879.80",S
27816,Synergeyes iD Multifocal EDOF unwarranted,"R3,320.80",S
28019,1.55 Revolution Gray & Brown Spheric/Aspheric,R148.20,
28115,1.60 Transitions XTRActive,,
28219,Serengeti Drivers /  Sedona / 555nm Blue / 555NM Silver / Clear,,
28400,Serengeti Drivers /  Sedona / CPG / 555NM Blue / 555NM / 555NM Silver / Drivers Gold,R639.90,
28405,Uvex S Certified CR39 Surfaced Single Vision,R693.20,
28410,Uvex F Certified Polycarbonate Surfaced Single Vision,"R1,535.70",
28420,Uvex F Certified Trilogy Transition Surfaced Single Vision,"R1,535.70",
28445,Uvex F Certified Trivex Surfaced Single Vision,R927.80,
28450,Uvex F Certified Polycarbonate Transition Surfaced Single Vision,R877.10,
28460,OAK OTD+ Top 1.50 Clear Boost Fit Blue,"R1,578.70",
28465,OAK OTD+ Top 1.60 Clear Boost Fit Blue,R490.60,
28468,OAK OTD+ Top 1.67 Clear Boost Fit Blue,"R1,279.70",
28490,OAK OTD+ Top 1.74 Clear Boost Fit Blue,R675.70,
28495,1.50 RELAX - Reading,"R1,846.20",
28506,1.53 Trivex RELAX - Reading,"R4,623.00",
28509,1.67 RELAX - Reading,"R3,026.40",
28510,1.74 RELAX - Reading,R511.30,
28511,1.60 RELAX - Reading,"R5,466.30",
28522,1.60 UV420 RELAX - Reading,"R2,556.80",
28523,RB AMP 1.50 Clear SV Boost Fit,"R4,458.20",
28555,RB AMP 1.60 Clear SV Boost Fit,R766.70,
28557,RB AMP 1.67 Clear SV Boost Fit,R639.90,
28559,BBGR Flat Top 28 1.50 Acclimates,"R1,599.70",
28560,synchrony Bifocal FT28 1.59  (Safety Only),"R1,245.80",
28561,Flat Top 28 1.50 Acclimates,"R1,599.70",
28563,1.50 Transitions VIII Flat Top 28,"R1,034.40",
28564,1.56 Revolution Flat Top 28,R810.50,
28570,1.50 Eclipse Flat Top 28,R998.60,
28573,Uvex S Certified Flattop 70/28 Clear,"R1,123.20",
28575,Uvex F Certified Trivex Flattop 70/28 Transition,R736.00,
28580,Uvex F Certified Trivex Flattop 70/28 Clear,"R1,621.50",
28590,Uvex F Certified Polycabonate Flattop 70/28 Clear,"R1,075.30",
28605,Flat Top 28 Trilogy® (1.53) Hardcoated,R596.10,
28610,Flat Top 28 HRI 1.67 (MR-10™) Hardcoated,"R1,579.30",
28617,Trilogy® Transitions® Flat Top 28 Grey & Brown Hardcoated,R808.80,
28621,NuPolar® (1.59) Flat Top 28 Grey 3 ; Brown Hardcoated,R594.20,
28622,NuPolar® (1.67) Flat Top 28 Grey 3 Hardcoated,R724.50,
28623,Transitions® Gen 8 (1.59) Composite Flat Top 28 Grey ; Brown Hardcoated,R795.40,
28627,Transitions® Gen 8 (1.59) Composite Flat Top 35 Grey ; Brown Hardcoated,R944.90,
28628,Transitions® Gen 8 Flat Top 35 Grey & Brown Hardcoated,R780.10,
28630,Transitions® Gen 8 (1.59) Composite Flat Top 7x28 Trifocal Grey ; Brown Hardcoated,"R1,564.00",
28633,Transitions® Gen 8 Flat Top 7x28 Grey & Brown Trifocal Hardcoated,R810.50,
28635,Transitions® Xtractive Flat Top 7x28 Grey Trifocal Hardcoated,"R1,127.00",
28640,Transitions® Gen 8 Flat Top 8x35 Grey Trifocal Hardcoated,"R1,644.50",
28650,synchrony Safety Access 1.59 (Safety Only),"R1,429.80",
28651,1.6 Incredible Office uncoated,R728.30,
28652,1.50 Office 23,R170.60,
28653,1.53 Trivex Office 23,R132.30,
28654,1.67 Office 23,R323.90,
28655,1.74 Office 23,R228.10,
28656,1.60 Office 23,R757.10,
28657,1.60 UV420 Office 23,"R1,115.50",
28658,iPAL DS 1.50 Acclimates (REG/SH),"R1,326.30",
28659,Quadro 1.50 Acclimates (REG/SH),R757.10,
28661,synchrony Progressive Easy View HD S 1.5,R565.40,
28663,synchrony Progressive Easy View HD S 1.5 Photo Grey,"R1,311.00",
28664,synchrony Progressive Easy View HD 1.5 Photo Grey,"R1,652.20",
28668,synchrony Progressive Performance HDV 1.67 Photo Grey,"R1,778.70",
28669,synchrony Progressive Performance HD 1.5 Photo Grey,"R1,723.10",
28670,synchrony Progressive Performance HD 1.6 Photo Grey,"R1,437.50",
28671,synchrony Progressive Performance HD Short 1.5 Photo Grey,"R1,153.80",
28672,synchrony Progressive Performance HD Short 1.6 Photo Grey,R862.50,
28673,synchrony Progressive Performance HDV 1.5 Photo Grey,"R1,418.30",
28674,synchrony Progressive Performance HDV 1.6 Photo Grey,"R1,332.10",
28676,synchrony  Safety  Progressive 1.59 (Safety Only),"R1,117.40",
28677,Essifit 1.50 Acclimates (REG/SH),R709.20,
28678,Varilux Liberty 3.0 1.50 Acclimates (REG/SH),R764.80,
28679,Essentials Everyday 1.50 Acclimates (REG/SH),"R1,715.40",
28681,Essentials Active 1.50 Acclimates (REG/SH),R381.40,
28682,Essentials Everyday 1.60 Acclimates (REG/SH),R536.70,
