"GEMS TARIFF FOR SERVICES BY MEDICAL LABORATORY TECHNOLOGISTS
WITH EFFECT FROM 2026-01-01",,126 - Medical Technology,
Tariff Code,Tariff Description, 2026 Tariff Value,
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,
,Preamble,,
,"It is recommended that, when such benefits are granted, the following should be clearly specified in the scheme's rules.

- Services must only be on referral.",,
,General Rules,,
001,"Each practitioner must acquaint him-/herself with the provisions of the Medical Schemes Act, and the regulations promulgated under the Act and shall render a monthly account in respect of any service rendered. NB: Every account shall contain the following particulars :

The account or statement contemplated in section 59(1) of the Act must contain the following -
(a)	The surname and initials of the member;
(b)	the surname, first name and other initials, if any, of the patient;
(c)	the name of the scheme concerned;
(d)	the membership number of the member;
(e)	the practice code number, group practice number and individual provider registration number issued by the registering authorities for providers, if applicable, of the supplier of service and, in the case of a group practice, the name of the practitioner who provided the service;
(f)	the relevant diagnostic and such other item code numbers that relates to such relevant health service;
(g)	the date on which each relevant health service was rendered;
 (h)	the nature and cost of each relevant health service rendered, including the supply of medicine to the member concerned or to a dependant of that member; and the name, quantity and dosage of and net amount payable by the member in respect of, the medicine;",,
3889,Clostridium difficile toxin: Monoclonal immunological,R217.50,
3890,Antibiotic assay of tissues and fluids,R244.00,
3891,Blood culture: Aerobic,R102.60,
3892,Blood culture: Anaerobic,R102.60,
3893,Bacteriological culture: Miscellaneous,R110.80,
3894,Radiometric blood culture,R190.10,
3895,Bacteriological culture: Fastidious organisms,R174.20,
3896,In vivo culture: Bacteria,R281.50,
3897,In vivo culture: Virus,R281.50,
3899,Bacterial exotoxin production (in vivo assay),R363.60,
3901,Fungal culture,R79.20,
3902,Clostridium difficile (cytotoxicity neutralisation),R527.00,
3903,Antibiotic level: Biological fluids,R205.80,
3904,Rotavirus latex slide test,R98.80,
3905,Identification of virus or rickettsia,R328.60,
3906,Identification: Chlamydia,R281.50,
3907,Culture for staphylococcus aureus,R39.30,
3908,Anaerobe culture: Comprehensive,R174.20,
3909,Anaerobe culture: Limited procedure,R79.20,
3911,Beta-lactamase assay,R79.20,
3914,Sterility control test: Biological method,R79.20,
3915,Mycobacterium culture,R79.20,
3916,Radiometric tuberculosis culture,R190.10,
3918,Mycoplasma culture: Comprehensive,R174.20,
3919,Identification of mycobacterium,R174.20,
3920,Mycobacterium: Antibiotic sensitivity,R174.20,
3921,Antibiotic synergistic study,R363.60,
3922,Viable cell count,R23.70,
3923,Biochemical identification of bacterium: Abridged,R55.20,
3924,Biochemical identification of bacterium: Extended,R219.70,
3925,Serological identification of bacterium: Abridged,R55.20,
3926,Serological identification of bacterium: Extended,R179.10,
3927,Grouping for streptococci,R128.40,
3928,Antimicrobic substances,R66.60,
3929,Radiometric mycobacterium identification,R245.80,
3930,Radiometric mycobacterium antibiotic sensitivity,R439.30,
3931,Helicobacter: Monoclonal immunological,R217.50,
3932,Antibodies to human immunodeficiency virus (HIV): ELISA,R247.60,
3933,IgE: Total: EMIT or ELISA,R205.80,
3934,Auto antibodies by labelled antibodies,R281.50,
3935,Sperm antibodies,R281.50,
3936,Virus neutralisation test: First antibody,"R1,317.80",
3937,Virus neutralisation test: Each additional antibody,R263.40,
3938,Precipitation test per antigen,R79.20,
3939,Agglutination test per antigen,R96.50,
3940,Haemagglutination test: Per antigen,R174.20,
3941,Modified Coombs' test for brucellosis,R79.20,
3942,Hepatitis Viral AB Rapid,R188.60,
3943,Antibody titer to bacterial exotoxin,R63.50,
3944,IgE: Specific antibody titer: ELISA/EMIT: Per Ag,R217.50,
3945,Complement fixation test,R102.60,
3946,IgM: Specific antibody titer:ELISA/EMIT: Per Ag,R246.60,
3947,C-reactive protein,R190.70,
3948,IgG: Specific antibody titer: ELISA/EMIT: Per Ag,R227.30,
3949,"Qualitative Kahn, VDRL or other flocculation",R39.30,
3950,Neutrophil phagocytosis,R442.90,
3951,"Quantitative Kahn, VDRL or other flocculation",R63.50,
3952,Neutrophil chemotaxis,"R1,193.90",
3953,Tube agglutination test,R73.10,
3955,Paul Bunnell: Presumptive,R39.30,
3956,Infectious mononucleosis latex slide test (Monospot or equivalent),R149.20,
3958,ANTI GAD & ANTI LA2 AB,"R1,037.60",
3959,Rose Waaler agglutination test,R79.20,
3960,"Gonococcal, listeria or echinococcus agglutination",R166.70,
3961,Slide agglutination test,R46.30,
3963,Serum complement level: Each component,R55.20,
3965,ANTI LA2 AB,R549.60,
3967,Auto-antibody: Sensitized erythrocytes,R79.20,
3968,Herpes virus typing: Monoclonal immunological,R363.50,
3969,Western blot technique,"R1,299.60",
3970,Epstein-Barr virus antibody titer,R118.40,
3971,Immuno-diffusion test: Per antigen,R55.20,
3972,Respiratory syncytial virus (ELISA technique),R614.60,
3973,Immuno electrophoresis: Per immune serum,R166.10,
3974,Polymerase chain reaction,"R1,317.80",
3975,"Indirect immuno-fluorescence test (bacterial, viral, parasitic)",R210.70,
3978,Lymphocyte transformation,R907.70,
3980,Bilharzia AG,R137.20,
3991,Abnormal pigments: Qualitative,R79.20,
3993,Abnormal pigments: Quantitative,R157.90,
3995,Acid phosphate,R91.10,
