"GEMS TARIFF FOR RADIOLOGISTS AND NUCLEAR MEDICINE
WITH EFFECT FROM 2026-01-01",,025 - Nuclear Medicine,038 - Radiology
21900,"Nuclear Medicine study - Thyroid, single uptake","R1,711.80",
21910,"Nuclear medicine study - Thyroid, multiple uptake","R2,597.40",
21920,Nuclear medicine study - Thyroid imaging with uptake,"R3,133.30",
21930,Nuclear medicine study - Thyroid imaging,"R2,249.30",
21940,Nuclear medicine study - Thyroid imaging with vascular flow,"R3,313.60",
21950,Nuclear medicine study - Thyroid suppression/stimulation,"R2,249.30",
21960,PET scan of the thyroid,,
,Parathyroid (Nuclear Medicine),,
22900,"Nuclear Medicine study - Parathyroid, planar, static","R2,921.40",
22910,"Nuclear medicine study - Parathyroid, planar, static, multiple","R5,111.60",
22920,"Nuclear medicine study - Parathyroid, planar, static with subtraction technique","R3,868.70",
22930,Nuclear medicine study - Parathyroid SPECT,"R2,371.00",
22940,PET scan of the parathyroid,,
,Soft Tissue,,
29900,"Nuclear Medicine study - Tumour localisation planar, static","R3,667.40",
29905,"Nuclear medicine study - Tumour localisation planar, static, multiple studies","R6,218.80",
29910,"Nuclear medicine study - Tumour localisation planar, static and SPECT","R6,038.60",
29915,"Nuclear medicine study - Tumour localisation planar, static, multiple studies and SPECT","R8,409.30",
29920,"Nuclear medicine study - Tumour localisation planar, static","R3,189.90",
29925,"Nuclear medicine study - Infection localisation planar, static, multiple studies","R5,561.20",
29930,"Nuclear medicine study - Infection localisation planar, static and SPECT","R5,561.20",
29935,"Nuclear medicine study - Infection localisation planar, static, multiple studies and SPECT","R7,932.20",
29940,"Nuclear medicine study - Regional lymph node mapping, static, planar","R4,261.50",
29945,"Nuclear medicine study - Regional lymph node mapping, static, planar, multiple","R6,452.30",
29950,Nuclear medicine study – Lymph node localisation with gamma probe,"R2,190.70",
29960,PET scan of the soft tissue of the neck,,
29961,PET/CT scan of the soft tissue of the neck uncontrasted,,
29962,PET/CT scan of the soft tissue of the neck contrasted,,
,Thorax,,
,"Chest wall, pleura, lungs and mediastinum",,
,"Code 30140 (tomography) may be combined with 30100 or 30110 (chest) or 30150 or 30155 (ribs) or 30160 (thoracic inlet).
Codes 30170 (Sterno-clavicular) and 30175 (tomography) may be combined. 
Code 30180 (sternum) and 30185 (tomography) may be combined. 
Code 30340 (CT limited high resolution) may be combined with 30310 or 30320 or 30330 (CT chest). Motivation may be required.
Code 30350 (high resolution) is a stand alone study.
Code 30360, (CT chest for pulmonary embolism) is a complete examination and includes the preceding uncontrasted CT scan of the chest, and may not be combined with 40330 or 40333 (CT abdomen and pelvis).
Code 30370 (CT pulmonary embolism plus CT venography) may not be combined with 70230 (Doppler).",,
30100,"X-ray of the chest, single view",,R538.00
30110,"X-ray of the chest two views, PA and lateral",,R679.00
30120,X-ray of the chest complete with additional views,,R749.70
30130,X-ray of the chest complete including fluoroscopy,,R792.40
30140,X-ray tomography of the chest,,R760.50
30150,X-ray of the ribs,,R847.20
30155,X-ray of the chest and ribs,,"R1,135.20"
30160,X-ray of the thoracic inlet,,R452.40
30170,X-ray of the sterno-clavicular joints,,R744.80
30175,X-ray tomography of the sterno-clavicular joint,,R760.50
30180,X-ray of the sternum,,R744.80
30185,X-ray tomography of the sternum,,R760.50
30200,"Ultrasound of the chest wall, any region",,"R1,159.90"
30210,Ultrasound of the pleural space,,"R1,159.90"
30220,Ultrasound of the mediastinal structures,,"R1,159.90"
30300,"CT of the chest, limited study",,"R1,679.80"
30310,CT of the chest uncontrasted,,"R4,703.50"
30320,CT of the chest contrasted,,"R7,502.50"
30330,"CT of the chest, pre and post contrast",,"R8,080.70"
30340,"CT of the chest, limited high resolution study",,"R1,980.50"
30350,"CT of the chest, complete high resolution study",,"R4,245.80"
30355,"CT of the chest, complete high resolution study with additonal prone and expiratory studies",,"R5,888.20"
30360,CT of the chest for pulmonary embolism,,"R10,100.30"
30370,"CT of the chest for pulmonary embolism with CT venography of abdomen, pelvis and lower limbs",,"R14,195.40"
30400,MR of the chest,,"R11,245.80"
30410,MR of the chest with uncontrasted angiography,,"R16,373.90"
30420,"MR of the chest, pre and post contrast",,"R18,043.10"
30900,Nuclear Medicine study - Lung perfusion,"R3,808.80",
30910,"Nuclear Medicine study - Lung ventilation, aerosol","R3,801.70",
30920,Nuclear Medicine study - Lung perfusion and ventilation,"R7,432.00",
30930,Nuclear Medicine study - Lung ventilation using radio-active gas,"R2,505.70",
30940,Nuclear Medicine study - Lung perfusion and ventilation using radio-active gas,"R6,133.90",
30950,Nuclear medicine study - Muco-ciliary clearance study dynamic,"R4,687.80",
30960,Nuclear medine study - alveolar permeabillity,"R4,687.80",
,Stand alone code. Not to be combined with 30910., ,
30970,Nuclear medicine study - quantitative evaluation of lung perfusion and ventilation,"R1,064.50",
,Stand alone code. Not to be combined with 30920.,,
30980,PET scan of the chest,,
30981,PET/CT scan of the chest uncontrasted,,
30982,PET/CT scan of the chest contrasted,,
30983,PET/CT scan of the chest pre and post contrast,,
,Oesophagus,,
,"Codes 31100, 31110, 31120 (swallow) include fluoroscopy (00140 may not be added).",,
31100,X-ray barium swallow,,"R1,167.20"
31105,Xray 3 phase dynamic contrasted swallow,,"R2,228.20"
31110,"X-ray barium swallow, double contrast",,"R1,400.20"
31120,X-ray barium swallow with cinematography,,"R1,780.40"
,Aorta and large vessels,,
,Codes 32210 and 32220 (Ivus) may be combined,,
32200,"Ultrasound intravascular arterial or venous assessment for intervention, once per complete procedure",,R742.40
32210,Ultrasound intravascular (IVUS) first vessel,,"R1,492.20"
32220,Ultrasound intravascular (IVUS) subsequent vessels,,R937.40
32300,CT angiography of the aorta and branches,,"R13,983.60"
32305,CT angiography of the thoracic and abdominal aorta and branches,,"R18,654.80"
32310,CT angiography of the pulmonary vasculature,,"R13,983.60"
32400,MR angiography of the aorta and branches,,"R13,880.80"
32410,MR angiography of the pulmonary vasculature,,"R18,613.90"
32500,Arteriography of thoracic aorta,,"R4,996.80"
32510,Arteriography of bronchial intercostal vessels alone,,"R8,867.80"
32520,"Arteriography of thoracic aorta, bronchial and intercostal vessels",,"R11,923.60"
32530,Arteriography of pulmonary vessels,,"R11,187.70"
32540,"Arteriography of heart chambers, coronary arteries",,"R7,828.20"
32550,Venography of thoracic vena cava,,"R5,018.30"
32560,"Venography of vena cava, azygos system",,"R9,956.90"
32570,Venography patency of A-port or other central line,,"R3,472.90"
,Heart,,
,Codes 33300 (CT anatomy / function) and 33310 (CT Angiography) may be done as stand alone studies or as additive studies if both are performed at the same time.,,
33205,Ultrasound study of the heart for foetal or paediatric cases including doppler,,"R2,175.00"
,Code 33205 is a stand alone study and may not be added to 33200 or 33210. This code is intended for paediatric and foetal cases only,, 
33200,"Ultrasound study of the heart, including Doppler",,"R1,449.80"
33210,Ultrasound study of the heart trans-oesophageal,,"R1,860.20"
33220,Ultrasound intravascular imaging to guide placement of intracoronary stent once per vessel,,R919.60
33300,CT anatomical/functional study of the heart,,"R6,120.10"
33310,CT angiography of heart vessels,,"R14,372.50"
33400,"MR of the heart, anatomical study",,"R10,998.70"
33410,"MR of the heart, anatomical and functional study",,"R12,200.80"
33420,"MR of the heart, pre and post contrast",,"R18,220.00"
33430,MR angiography of the heart vessels,,"R12,503.10"
33440,"MR of the heart, anatomical, functional and coronary angiography",,"R18,891.90"
33900,Nuclear Medicine study - Cardiac shunt detection,"R3,801.70",
33905,"Nuclear Medicine study - Cardiac blood pool imaging, ejection fraction plus wall motion single study","R4,687.80",
33910,"Nuclear Medicine study - Cardiac blood pool imaging, ejection fraction plus wall motion multiple studies","R6,174.60",
33915,"Nuclear Medicine study - Cardiac blood pool imaging, gated SPECT","R2,371.00",
33920,"Nuclear medicine study - Cardiac blood pool imaging, first pass technique","R4,687.80",
33925,"Nuclear medicine study - Myocardial perfusion, single, rest (thallium/mibi) planar, non gated","R2,921.40",
33930,"Nuclear medicine study - Myocardial perfusion, single, stress (thallium/mibi) planar, non gated","R2,921.40",
33935,"Nuclear medicine study - Myocardial perfusion, single, rest (thallium/mibi), SPECT (non gated)","R2,921.40",
33940,"Nuclear medicine study - Myocardial perfusion, single, stress (thallium/mibi), SPECT non gated","R2,921.40",
33945,"Nuclear medicine study - Myocardial perfusion, single, rest (thallium/mibi), SPECT (gated)","R5,111.60",
33950,"Nuclear medicine study - Myocardial perfusion, single, stress (thallium/mibi), SPECT (gated)","R5,111.60",
33955,"Nuclear medicine study - Plus wall movement and ejection fraction, SPECT","R1,064.50",
33960,Nuclear medicine study - Cardiac hot spot imaging (infarction) planar,"R3,801.70",
33965,Nuclear medicine study - Cardiac hot spot imaging (infarction) SPECT,"R2,371.00",
33970,Nuclear Medicine study - Multi stage treadmill ECG test,"R1,177.60",
33980,PET scan of the heart,,
33981,PET/CT scan of the heart?,,
,Mamma,,
,"Codes 34110 (localization), 34120 (stereo-tactic localization) and 34130 (stereo-tactic biopsy) may not be combined.
Code 34130 (stereo-tactic biopsy). Add procedural code 80610 (cutting needle) or 34150 (mammotome)
Code 34205 (U/S FNA) includes the procedural code (may not be combined with 34150).",,
34100,X-ray mammography including ultrasound,,"R1,845.70"
34101,"X-Ray mammography unilateral, including ultrasound",,"R1,476.80"
,Code 34100 may not be combined with 34205 when these two procedures are done in the same sitting. Code 34100 includes ultrasound. In this situation use code 80605 (fine needle aspiration) with 34100,, 
34105,X-ray mammography galactography,,"R1,661.80"
,Once off fee per visit. May be added to 34100,, 
34110,X-ray mammography study for localisation,,"R1,280.10"
34120,X-ray stereotactic mammography – localisation,,"R1,838.90"
34130,X-ray stereotactic mammography – biopsy,,"R2,051.30"
34140,X-ray of biopsy specimen of the mamma,,R484.40
34150,X-ray Mammotome hand held biopsy apparatus,,"R1,732.40"
34200,Ultrasound study of the breast,,"R1,396.60"
34205,Ultrasound guided aspiration FNA/localisation of the breast,,"R2,140.00"
34300,Computer assisted diagnosis for mammography,,R247.80
34400,MR study of the breast,,"R11,069.00"
34410,MR study of the breast pre and post contrast,,"R17,831.00"
34900,PET scan of the breast/mamma,,
,Soft Tissue,,
39900,"Nuclear medicine study - Tumour localisation planar, static","R3,667.40",
39905,"Nuclear medicine study - Tumour localisation planar, static, multiple studies","R6,218.80",
39910,"Nuclear medicine study - Tumour localisation planar, static and SPECT","R6,038.60",
39915,"Nuclear medicine study - Tumour localisation planar, static, multiple studies and SPECT","R8,409.30",
39920,"Nuclear medicine study - Infection localisation planar, static","R3,189.90",
39925,"Nuclear medicine study - Infection localisation planar, static, multiple studies","R5,561.20",
39930,"Nuclear medicine study - Infection localisation planar, static and SPECT","R5,561.20",
39935,"Nuclear medicine study - Infection localisation planar, static, multiple studies, SPECT","R7,932.20",
39940,"Nuclear medicine study - Regional lymph node mapping, static, planar","R4,261.50",
39945,"Nuclear medicine study - Regional lymph node mapping, static, planar, multiple","R6,452.30",
39950,Nuclear medicine study – Lymph node localisation with gamma probe,"R2,190.70",
,Abdomen and Pelvis,,
,Abdomen/stomach/bowel,,
,"Code 40120 (tomography) may be combined with 40100 or 40105 or 40110 (abdomen).
Codes 40140 to 40190 (barium studies) include fluoroscopy (00140 may not be added).  
Code 40190 (intussusception) is a stand alone code and may not be combined with 40160 or 40165 (barium enema), (00140 may not be added).",,
40100,X-ray of the abdomen,,R587.10
40105,"X-ray of the abdomen supine and erect, or decubitus",,R947.60
40110,X-ray of the abdomen multiple views including chest,,"R1,432.50"
40120,X-ray tomography of the abdomen,,R760.50
40140,X-ray barium meal single contrast,,"R1,568.30"
40143,X-ray barium meal double contrast,,"R2,120.20"
40147,X-ray barium meal double contrast with follow through,,"R2,793.60"
40150,X-ray small bowel enteroclysis (meal),,"R4,500.30"
,Code 40150 excludes duodenal intubation and 40175 (Duodenal intubation) may be added.,, 
40153,X-ray small bowel meal follow through single contrast,,"R3,456.90"
40157,X-ray small bowel meal with pneumocolon,,"R4,531.70"
40160,X-ray large bowel enema single contrast,,"R2,293.50"
40165,X-ray large bowel enema double contrast,,"R3,471.40"
40170,X-ray guided gastro oesophageal intubation,,R282.80
40175,X-ray guided duodenal intubation,,R495.00
40180,X-ray defaecogram,,"R2,293.50"
40190,X-ray guided reduction of intussusception,,"R2,876.70"
40200,Ultrasound study of the abdominal wall,,R979.60
40210,Ultrasound study of the whole abdomen including the pelvis,,"R1,456.80"
40300,CT study of the abdomen,,"R4,669.80"
40310,CT study of the abdomen with contrast,,"R7,925.20"
40313,CT study of the abdomen pre and post contrast,,"R9,369.70"
40320,CT of the pelvis,,"R4,620.50"
40323,CT of the pelvis with contrast,,"R8,395.80"
40327,CT of the pelvis pre and post contrast,,"R9,525.40"
40330,CT of the abdomen and pelvis,,"R6,807.40"
40333,CT of the abdomen and pelvis with contrast,,"R10,992.90"
40337,CT of the abdomen and pelvis pre and post contrast,,"R11,923.60"
40340,"CT triphasic study of the liver, abdomen and pelvis pre and post contrast",,"R13,104.60"
40345,"CT of the chest, abdomen and pelvis without contrast",,"R12,398.60"
40350,"CT of the chest, abdomen and pelvis with contrast",,"R15,622.60"
40355,"CT of the chest triphasic of the liver, abdomen and pelvis with contrast",,"R16,453.10"
40360,CT of the base of skull to symphysis pubis with contrast,,"R18,164.90"
40365,CT colonoscopy,,"R6,150.00"
,"Stand alone study, may not be added to any code between 40300 and 40360",, 
40400,MR of the abdomen,,"R11,419.40"
40410,MR of the abdomen pre and post contrast,,"R17,831.00"
40420,"MR of the pelvis, soft tissue",,"R11,419.40"
40430,"MR of the pelvis, soft tissue, pre and post contrast",,"R18,043.10"
40900,Nuclear Medicine study - Gastro oesophageal reflux and emptying,"R3,801.70",
40905,Nuclear Medicine study - Gastro oesophageal reflux and emptying multiple studies,"R6,174.60",
40910,Nuclear Medicine study - Gastro intestinal protein loss,"R3,801.70",
40915,Nuclear Medicine study - Gastro intestinal protein loss multiple studies,"R6,174.60",
40920,Nuclear Medicine study – Acute GIT bleed static/dynamic,"R3,801.70",
40925,Nuclear medicine study – Acute GIT bleed multiple studies,"R6,174.60",
40930,Nuclear medicine study - Meckel's localisation,"R3,672.60",
40935,Nuclear medicine study - Gastric mucosa imaging,"R3,672.60",
40940,Nuclear medicine study - colonic transit multiple studies,"R7,932.20",
,Stand alone code,,
40950,PET scan of the abdomen and pelvis,,
40951,PET/CT scan of the abdomen and pelvis uncontrasted ,,
40952,PET/CT scan of the abdomen and pelvis contrasted,,
40953,PET/CT scan of the abdomen and pelvis pre and post contrast,,
,"Liver, spleen, gall bladder and pancreas",,
,"Code 41110, 41120 and 41130 (cholangiography) include fluoroscopy (00140 may not be added).",,
41100,X-ray ERCP including screening,,"R3,341.70"
41105,X-ray ERCP reporting on images done in theatre,,R424.40
41110,X-ray cholangiography intra-operative,,"R1,494.20"
41120,X-ray T-tube cholangiography post operative,,"R2,484.30"
41130,X-ray transhepatic percutaneous cholangiography,,"R5,718.30"
41200,Ultrasound study of the upper abdomen,,"R1,237.50"
41210,Ultrasound doppler of the hepatic and splenic veins and inferior vena cava in assessment of portal venous hypertension or thrombosis,,"R1,732.40"
,"Code 41210 is a stand alone study and may not be added to 40200, 40210, 41200 or 42200",,
41300,CT of the abdomen triphasic study – liver,,"R9,707.70"
41400,MR study of the liver/pancreas,,"R11,454.50"
41410,MR study of the liver/pancreas pre and post contrast,,"R17,831.00"
41420,MRCP,,"R8,699.60"
41430,MR study of the abdomen with MRCP,,"R16,440.80"
41440,MR study of the abdomen pre and post contrast with MRCP,,"R23,623.70"
41900,"Nuclear Medicine study - Liver and spleen, planar views only","R3,801.70",
41905,"Nuclear Medicine study - Liver and spleen, with flow study","R4,868.20",
41910,"Nuclear Medicine study - Liver and spleen, planar views SPECT","R6,174.60",
41915,"Nuclear Medicine study - Liver and spleen, with flow study and SPECT","R7,239.10",
41920,Nuclear Medicine study - Hepatobiliary system planar static/dynamic,"R3,801.70",
41925,Nuclear Medicine study – hepatobiliary tract including flow,"R4,687.80",
41930,"Nuclear medicine study – Hepatobiliary system planar, static/dynamic multiple studies","R6,174.60",
41935,Nuclear medicine study – Hepatobiliary tract including flow multiple studies,"R7,058.90",
41940,Nuclear medicine study - Gall bladder ejection fraction,"R1,064.50",
41945,Nuclear medicine study – Biliary gastric reflux study,"R3,672.60",
,Renal tract,,
42100,X-ray tomography of the renal tract,,R760.50
,"Code 42100 (tomography) may not be added to 42110 or 42115 (IVP).
Codes 42115 (IVP), 42120 (cystography), 42130 (urethography), 42140 (MCU), 42150 (retrograde), and 42160 (prograde) include fluoroscopy (00140 may not be added).",,
42110,X-ray excretory urogram including tomography,,"R4,395.80"
42115,X-ray excretory urogram including tomography with micturating study,,"R5,810.50"
42120,X-ray cystography,,"R2,661.30"
42130,X-ray urethrography,,"R2,717.70"
42140,X-ray micturating cysto-urethrography,,"R3,412.70"
42150,X-ray retrograde/prograde pyelography,,"R2,215.50"
42155,X-ray retrograde/prograde pyelography reporting on images done in theatre,,R426.30
42160,X-ray prograde pyelogram – percutaneous,,"R5,777.00"
42200,Ultrasound study of the renal tract including bladder,,"R1,311.80"
42205,Ultrasound doppler for resistive index in vessels of transplanted kidney,,R672.00
,Code 42205 is a stand alone study and may not be added to 42200,,
42210,Ultrasound study of the renal arteries including Doppler,,"R1,874.30"
42300,CT of the renal tract for a stone,,"R4,447.30"
42400,MR of the renal tract for obstruction,,"R8,310.80"
42410,MR of the kidneys without contrast,,"R11,419.40"
42420,MR of the kidneys pre and post contrast,,"R18,078.60"
42900,"Nuclear Medicine study - Renal imaging, static (e.g. DMSA)","R3,879.70",
42905,"Nuclear Medicine study - Renal imaging, static (e.g. DMSA) with flow","R4,943.80",
42910,"Nuclear Medicine study - Renal imaging, static (e.g. DMSA) with SPECT","R6,250.70",
42915,"Nuclear Medicine study - Renal imaging, static (e.g. DMSA), with flow, with SPECT","R7,315.10",
42920,Nuclear Medicine study - Renal imaging dynamic (renogram) and vascular flow,"R4,687.80",
42930,"Nuclear Medicine study – Renovascular study, baseline","R4,687.80",
42940,"Nuclear Medicine study – Renovascular study, with intervention","R4,687.80",
42950,Nuclear medicine study - indirect voiding cystogram,"R1,064.50",
,Reproductive system,,
,"Codes 43120 and 43130 (hystero-salpingography) include fluoroscopy (00140 may not be added).
Codes 43230 (U/S ova aspiration) and 43240 (amniocentesis) are complete procedure codes.",,
,"Codes 43230 (U/S ova aspiration) and 43240 (amniocentesis) are complete procedures and may not be combined with 00230 (ultrasound guidance) or 80605 (fine needle aspiration). Code 43240 may be combined with 43260 (second trimester), 43270 (third trimester) and 43273 (third trimester follow up)",,
43100,X-ray pelvimetry single,,R707.30
43110,X-ray pelvimetry multiple views,,"R1,025.30"
43120,X-ray hystero-salpingography,,"R1,773.60"
43130,X-ray hystero-salpingography with introduction of contrast,,"R2,392.40"
43200,Ultrasound study of the pelvis transabdominal,,"R1,007.80"
43205,Ultrasound study of the female pelvis transvaginal,,"R1,274.60"
43210,Ultrasound study of the prostate transrectal,,"R1,305.10"
43215,Ultrasound transrectal prostate volume for brachytherapy,,"R1,838.90"
43220,Ultrasound study of the testes,,"R1,305.10"
43225,Ultrasound study for male impotence including doppler and injection of vaso contrictor,,"R2,652.70"
,"Code 43225 is a stand alone study and may not be added to 43200, 43210, 43220 or 44200",,
43230,Ultrasound guided transvaginal aspiration for ova,,"R2,387.10"
43240,Ultrasound guided amniocenthesis,,"R1,032.70"
43250,"Ultrasound study of the pregnant uterus, first trimester",,R742.40
43260,"Ultrasound study of the pregnant uterus, second trimester",,"R1,124.50"
43270,"Ultrasound study of the pregnant uterus, third trimester, first visit",,"R1,124.50"
43273,"Ultrasound study of the pregnant uterus, third trimester, follow-up visit",,R742.40
43277,"Ultrasound study of the pregnant uterus, multiple gestation, second or third trimester, first visit",,"R1,445.10"
43280,Ultrasound doppler of the umbilical cord for resistive index,,R672.00
,"Code 43280 is a stand alone study and may not be added to the following codes: 43250, 43260, 43270, 43273 or 43277",,
43300,CT pelvimetry – Topogram,,"R1,163.60"
43400,MR study of pelvic reproductive organs - limited study,,"R8,416.80"
43405,MR study for pelvimetry,,"R3,536.60"
43410,MR study of pelvic reproductive organs - complete – uncontrasted,,"R11,419.40"
43420,MR study of pelvic reproductive organs - complete – pre and post contrast,,"R18,078.60"
43950,Nuclear medicine study - Radio pharmaceutical voiding cystogram,"R3,801.70",
43960,Nuclear medicine study - Testicular imaging,"R4,687.80",
43970,Nuclear medicine study - hystero-salpingography,"R4,687.80",
43961,PET scan of the testis,,
,Aorta and vessels,,
,Code 44400 (MR Angiography) may be combined with 40400 (MR abdomen).,,
44200,Ultrasound study of abdominal aorta and branches including doppler,,"R3,239.50"
44205,Ultrasound study of the IVC and pelvic veins including Doppler,,"R2,475.60"
,This is a stand alone code and may not be added to 44200.,,
44300,CT angiography of abdominal aorta and branches,,"R13,565.90"
44305,CT angiography of the abdominal aorta and branches and pre and post contrast study of the upper abdomen,,"R16,678.00"
44310,CT angiography of the pelvis,,"R13,905.40"
44320,CT angiography of the abdominal aorta and pelvis,,"R15,832.50"
44325,CT angiography of the abdominal aorta and pelvis and pre and post contrast study of the upper abdomen and pelvis,,"R21,068.40"
44330,CT portogram,,"R13,155.40"
44400,MR angiography of abdominal aorta and branches,,"R13,551.70"
44500,Arteriography of abdominal aorta alone,,"R4,972.30"
44503,"Arteriography of aorta plus coeliac, mesenteric branches",,"R13,373.00"
44505,"Arteriography of aorta plus renal, adrenal branches",,"R11,141.50"
44507,Arteriography of aorta plus non-visceral branches,,"R10,749.00"
44510,"Arteriography of coeliac, mesenteric vessels alone",,"R11,378.30"
44515,"Arteriography of renal, adrenal vessels alone",,"R8,751.30"
44517,Arteriography of non-visceral abdominal vessels alone,,"R9,709.30"
44520,Arteriography of internal and external iliac vessels alone,,"R10,029.30"
44525,Venography of internal and external iliac veins alone,,"R10,982.30"
44530,Corpora cavernosography,,"R4,431.30"
44535,"Vasography, vesciculography",,"R5,161.30"
44540,Venography of inferior vena cava,,"R4,618.40"
44543,Venography of hepatic veins alone,,"R9,507.90"
44545,Venography of inferior vena cava and hepatic veins,,"R12,185.00"
44550,Venography of lumbar azygos system alone,,"R7,761.00"
44555,Venography of inferior vena cava and lumbar azygos veins,,"R11,574.70"
44560,"Venography of renal, adrenal veins alone",,"R7,778.10"
44565,Venography of inferior vena cava and renal/adrenal veins,,"R12,092.70"
44570,"Venography of spermatic, ovarian veins alone",,"R7,141.90"
44573,"Venography of inferior vena cava, renal, spermatic, ovarian veins",,"R13,083.00"
44580,Venography indirect splenoportogram,,"R8,605.90"
44583,Venography direct splenoportogram,,"R5,585.70"
44587,Venography transhepatic portogram,,"R11,802.80"
,Soft Tissue,,
49900,"Nuclear Medicine study – Tumour localisation planar, static","R3,667.40",
49905,"Nuclear Medicine study – Tumour localisation planar, static, multiple studies","R6,218.80",
49910,"Nuclear Medicine study – Tumour localisation planar, static and SPECT","R6,038.60",
49915,"Nuclear medicine study – Tumour localisation planar, static, multiple studies and SPECT","R8,409.30",
49920,"Nuclear medicine study – Infection localisation planar, static","R3,189.90",
49930,"Nuclear medicine study – Infection localisation planar, static, multiple studies","R5,561.20",
49940,"Nuclear medicine study – Infection localisation planar, static and SPECT","R5,561.20",
49950,"Nuclear medicine study – Infection localisation planar, static, multiple studies and SPECT","R7,932.20",
49960,Nuclear medicine study – Regional lymph node mapping dynamic,R886.00,
49965,"Nuclear medicine study – Regional lymph node mapping, static, planar","R4,261.50",
49970,"Nuclear medicine study – Regional lymph node mapping, static, planar, multiple","R6,632.60",
49975,Nuclear medicine study – Regional lymph node mapping SPECT,"R2,371.00",
49980,Nuclear medicine study – Lymph node localisation with gamma probe,"R2,371.00",
,"Spine, Pelvis and Hips",,
,"Code 51340 (CT myelography, cervical), 52330 (CT myelography thoracic) and 53340 (CT myelography lumbar) are stand alone studies and may not be combined with the conventianla myelography codes viz. 51160, 52150, 53160",,
,General,,
,Code 50130 (Lumbar puncture) and 50140 (cisternal puncture) include fluoroscopy and introduction of contrast (00140 may not be added).,,
50100,X-ray of the spine scoliosis view AP only,,"R1,237.50"
50105,X-ray of the spine scoliosis view AP and lateral,,"R2,122.10"
50110,X-ray of the spine scoliosis view AP and lateral including stress views,,"R3,278.50"
50120,X-ray bone densitometry,,"R2,037.20"
50130,X-ray guided lumbar puncture,,R848.60
50140,X-ray guided cisternal puncture cisternogram,,"R4,063.60"
50300,CT quantitive bone mineral density,,"R2,091.70"
50500,"Arteriogram of the spinal column and cord, all vessels",,"R22,497.10"
50510,"Venography of the spinal, paraspinal veins",,"R10,335.10"
,Cervical,,
,"Code 51100 (stress) is a stand alone study and may not be added to 51110, 51120 (cervical spine), 51160 (myelography) and 51170 (discography).
Code 51140 (tomography) may be combined with 51110 or 51120 (spine).
Code 51160s (myelography) and 51170 (discography) include fluoroscopy and introduction of contrast (00140 may not be added).
Code 51300 (CT) limited  - limited to a single cervical vertebral body.
Code 51310 (CT) regional study - 2 vertebral bodies and intervertebral disc spaces.
Code 51320 (CT) complete study - an extensive study of the cervical spine.
Code 51340 (CT myelography) – post myelographic study and includes all disc levels, includes fluoroscopy and introduction of contrast (00140 may not be added).",,
51100,"X-ray f the cervical spine, stress views only",,R731.90
51110,"X-ray of the cervical spine, one or two views",,R532.30
51120,"X-ray of the cervical spine, more than two views",,R757.00
51130,"X-ray of the cervical spine, more than two views including stress views",,"R1,340.30"
51140,X-ray Tomography cervical spine,,R760.50
51160,X-ray myelography of the cervical spine,,"R4,855.60"
51170,X-ray discography cervical spine per level,,"R4,450.90"
51300,CT of the cervical spine limited study,,"R1,679.80"
51310,CT of the cervical spine – regional study,,"R2,459.30"
51320,CT of the cervical spine – complete study,,"R6,565.60"
51330,CT of the cervical spine pre and post contrast,,"R10,406.10"
51340,CT myelography of the cervical spine,,"R8,344.40"
51350,CT myelography of the cervical spine following myelogram,,"R3,835.30"
51400,"MR of the cervical spine, limited study",,"R7,850.80"
51410,MR of the cervical spine and cranio-cervical junction,,"R11,462.10"
51420,MR of the cervical spine and cranio-cervical junction pre and post contrast,,"R18,060.60"
51900,Nuclear Medicine study – Bone regional cervical,"R3,801.70",
51910,Nuclear Medicine study – Bone tomography regional cervical,"R2,371.00",
51920,Nuclear Medicine study – with flow,"R1,064.50",
,Thoracic,,
,"Code 52120 (tomography) may be combined with 52100 or 52110 (spine).
Code 52150 (myelography) includes fluoroscopy and introduction of contrast (00140 may not be added).
Code 52300 (CT) limited study – limited to a single thoracic vertebral body. 
Code 52305 (CT) regional study - 2 vertebral bodies and intervertebral disc paces. 
Code 52310 (CT) complete study - an extensive study of the thoracic spine.
Code 52330 (CT myelography)  - post myelographic study and includes all disc levels, fluoroscopy and introduction of contrast (00140 may not be added).",,
52100,"X-ray of the thoracic spine, one or two views",,R567.50
52110,"X-ray of the thoracic spine, more than two views",,R707.30
52120,X-ray tomography thoracic spine,,R760.50
52140,"X-ray of the thoracic spine, more that two views including stress views",,"R1,173.80"
52150,X-ray myelography of the thoracic spine,,"R3,292.30"
52300,CT of the thoracic spine limited study,,"R1,679.80"
52305,CT of the thoracic spine – regional study,,"R2,459.30"
52310,CT of the thoracic spine complete study,,"R6,326.90"
52320,CT of the thoracic spine pre and post contrast,,"R10,406.10"
52330,CT myelography of the thoracic spine,,"R8,503.30"
52340,CT myelography of the thoracic spine following myelogram,,"R3,601.80"
52400,"MR of the thoracic spine, limited study",,"R8,239.90"
52410,MR of the thoracic spine,,"R11,376.60"
52420,MR of the thoracic spine pre and post contrast,,"R17,933.70"
52900,Nuclear Medicine study – Bone regional dorsal,"R3,801.70",
52910,Nuclear Medicine study – Bone tomography regional dorsal,"R2,371.00",
52920,Nuclear Medicine study – with flow,"R1,064.50",
,Lumbar,,
