"GEMS TARIFF FOR DENTAL TECHNICIANS
WITH EFFECT FROM 2026-01-01",,093 - Dental Technician
9481,Additional charge for each soldering joint,R266.70
9483,Additional charge for soldering retention,R323.50
9485,Additional charge for each additional retention soldering joint,R99.50
9487,Additional charge for each welding joint,R326.20
9489,Additional charge for fitting swing lock,R266.70
9491,Additional charge for each backing cast,R260.90
9493,Additional charge for each Steels backing or pontic cast (Plastic work to be charged in addition),R284.00
C,Chrome Cobalt and Repairs,
9495,Basic fee for the repairing of or addition to any appliance necessitating the casting of a model (9301),R411.40
9497,Basic fee if a new section is to be fabricated and where item 9495 does not apply (9301),R468.20
4,Crown and Bridge Prosthetic Services,
A,Porcelain (Ceramic) Services,
9501,Ceramic jacket crown/Ceromer crown or pontic,"R1,796.30"
9502,Ceramic metal substitute coping,"R1,450.40"
9505,Ceramic Bonded crown or pontic,"R2,372.30"
9507,"Post-solder invested joint, per joint",R485.20
9511,Inlay in porcelain veneer crown,R783.10
9512,"Ceramic, inlay/onlay, bridge retainer","R1,841.90"
9515,Porcelain shoulder per unit (not applicable to pontics),R159.30
9520,Additional fee for crown- & bridge work performed on a movable condyle articulator per unit,R76.70
B,Gold and Acrylic Veneer Services,
9521,"Full metal crown, MOD, three-quarter crown","R1,467.50"
9524,Indirect Composite Resin inlay,R397.50
9525,"Class IV, MO, DO, cervical/occlusal inlay","R1,209.10"
9526,Additional fee for one piece casting of crown or inlay on post,R368.80
9531,Pin-ledge inlay,"R1,370.80"
9533,Full metal pontic,"R1,084.50"
9535,Abutment thimble cast,"R1,016.20"
9537,Precision lock and rest cast,"R1,441.90"
9538,Lock and rest cast,R689.80
9539,Casting of rest only,R411.40
9541,"Metal inlay or post, cast direct",R436.90
9543,Gold/pre-solder invested joint,R433.90
9545,"Cast post with thimble, indirect",R724.00
9546,Multiple Post,"R1,197.60"
9547,Manufacture cast post and core to existing crown,R945.20
9549,C.S.P. attachment (Steiger),"R3,190.00"
9550,Milling milled edge per unit,"R1,016.20"
9551,Telescope crown,"R2,502.90"
9553,"Composite/acrylic veneer crown/pontic, indirect","R2,000.70"
9557,"Composite/acrylic jacket crown, indirect","R1,413.30"
9559,Composite/acrylic veneer post crown,"R1,978.20"
9560,Indirect Composite Resin Veneer,R837.30
9561,"Composite/acrylic jacket crown, direct",R964.50
9563,Temporary acrylic/composite crown per unit,R689.80
9564,Heat formed template supplied to dentist for the manufacture of temporary restorations,R346.30
9565,Composite/acrylic-facing replaced,R803.40
9566,Porcelain/ Ceromer facing replaced,"R1,455.70"
9569,Waxing of crown to existing denture,R567.30
9570,Additional fee for each remake at an agreed quantum of time to be calculated at an hourly rate,R584.70
5,Orthodontic Appliances,
A,Orthodontic Services,
9571,Basic charge which includes acrylic base,R717.90
9572,Basic charge non acrylic base,R346.30
9573,Additional charge for fitting first expansion screw ,R136.40
9575,Additional fee for fitting subsequent expansion screws ,R116.40
9576,Additional fee for full aclusal bite plate,R403.00
9577,Additional fee for bite plate anterior,R136.40
9578,Additional fee for bite plate posterior,R136.40
9579,Additional fee for fitting tongue guard,R170.10
9581,Additional fee for flat or inclined plane,R104.90
9583,Additional fee for Adams Crib,R125.00
9585,Additional fee for Jackson Crib,R130.60
9587,Additional fee for ball clasp,R147.50
9589,Additional fee for single arm clasp,R113.40
9591,Additional fee for double arm clasp,R198.60
A.1,Springs,
9593,Additional fee for fitting single loop finger spring,R93.70
9595,Additional fee for fitting double loop finger spring,R110.70
9597,Additional fee for fitting Buccal retraction spring,R82.50
9599,Additional fee for fitting apron spring,R213.00
9603,Additional fee for fitting coffin spring,R204.30
9605,Additional fee for fitting Quad Helix,R227.00
9607,Additional fee for fitting flapper or “T”-spring,R170.10
9609,"Additional fee for fitting all springs with tubing, each",R190.00
A.2,Arches,
9611,Additional fee for fitting labial arch,R107.70
9613,Additional fee for fitting buccal arch,R127.80
9615,Additional fee for fitting Roberts retractor,R238.30
9617,Invisible Retainer ,R314.80
9619,Additional fee for fitting twin wire arch extra-oral arch,R298.30
9620,Additional fee Lip bumper,R125.00
9621,Additional fee for fitting extra-oral arch,R284.00
9622,Additional fee for fitting space maintainer arch,R125.00
A.3,Welding And Soldering,
9623,Additional fee for each spot-welding joint,R56.70
9625,Additional fee for each soldering joint,R90.90
9627,Additional fee for each invested soldering joint,R252.40
9629,Additional fee for each hook for elastic traction,R82.50
B,Mouth Protectors and MYO Functional Appliances,
9631,Mouth protector (gum guard),R533.60
9633,Oral Screen,R655.90
9635,Andresen or Norwegian appliance,"R1,172.00"
9637,Tooth positioner,"R1,350.80"
9639,Gunning splint,"R1,799.20"
9641,Frankel appliance,"R1,736.80"
9643,Chin cap,R576.10
9645,Bionator,"R1,175.00"
9646,Diagnostic set-up,"R1,129.60"
9647,Snoring Appliance,"R1,067.10"
C,Fixed Appliances,
9651,Pinched or swaged band with welded attachment (excluding cost of attachment),R346.30
9653,Pinched or swaged band with soldered attachment,R454.20
D,Additional Services,
9662,Additional fee for each remake at an agreed quantum of time to be calculated at an hourly rate,R584.70
6,Materials,
A,Prosthetic/Restorative Services,
9700,Diatorics 1 X 6/8,
9702,"Diatorics, odds, anterior",
9704,"Diatorics, odds, posterior",
9706,Cost of Bleaching tray material,
9720,Soft base material per denture,
9722,Acrylic per denture,
9724,"Cost of precision attachment, per attachment",
9726,Preformed Ball or Roach Clasp,
9728,Cost of lingual / palatal bar,
9729,Cost of mesh strengthener,
9730,"Cost of pre-fabricated burn-out component, per component",
9732,"Cost of other attachment components e.g. Nylon caps, sleeves etc",
9734,"Cost of dolder bar and clips, per gram or per clip",
9736,Cost of implant components,
9738,Cost of preformed strengthener,
9739,Additional Charge Gold plating,
B,Metal,
9740,"Cost of gold wire, per gram                        ",
9741,Cost of Cobalt Chrome casting alloy                   ,
9742,"Cost of specialised Cobalt Chrome casting metal e g Vitallium, Titanium",
9744,Cost of precious casting alloy,
9746,Cost of semi-precious casting alloy,
9748,Cost of non-precious casting alloy,
9752,Cost of platinum foil,
9754,"Cost of gold solder, per gram",
9755,Etching For bonding (metal or Ceramic),
9756,"Cost of silver solder, per gram",
9757,Ceromer material - per unit,
9758,Fiber re-enforced material per unit,
9760,Composite restoration material,
9761,Ceramic material,
C,Orthodontic Services,
9762,"Cost of anterior orthodontic attachment, per attachment",
9763,Orthodontic material,
9764,"Cost of posterior orthodontic attachment, per attachment",
9765,Preformed components,
9766,"Cost of expansion screw, per screw",
9767,Soldering material,
9768,"Cost of buccal tube/transfer tube, per tube",
9770,"Cost of J-hook, per hook",
9772,"Cost of lingual buttons, per button",
9774,Cost of invisible retainer material,
9775,R/A case,
9776,Cost of mouth protector material,
9778,Cost of arch wire,
9779,Dual laminate material,
7,Precision Attachments and Implant Services,
9780,Positioning and finishing of complete (male and female) pre­fabricated burn-out attachment,R893.80
9782,Positioning and soldering of complete (male and female) precision attachment,R746.20
9783,Implant stent per unit,R689.80
9784,Alignment of dolder bar and clips,R941.90
9786,"Trimming, waxing and finishing of implant abutment - crown and bridge work only, per abutment",R405.50
9787,"Waxing, milling and finishing of a custom abutment",R792.20
9788,"Implant superstructure (edentulous cases) including placing of preformed parts, per section cast","R4,327.90"
9789,Finishing of prosthesis on implant structure per arch,"R1,580.80"
