"GEMS TARIFF IN RESPECT OF PHYSIOTHERAPISTS
WITH EFFECT FROM 2026-01-01",,072 - Physiotherapists
505,"Group rehabilitation. Treatment of a patient with disabling pathology in an appropriate facility requiring specific equipment and supervision, without individual attention for the whole treatment session, no charge may be levied by facility",R172.20
506,Stress management,R287.00
507,Respiratory Re-education and Training. Duration: 30min.,R215.50
509,"Rehabilitation. Each additional full 15 mins. Where the pathology requires the undivided attention of the physiotherapist. (Rule 0008 does not apply.)  Can only be used with codes 501, 502, 507 or 503 to indicate the completion of an additional 15 minutes. A maximum of two instances of this code may be charged per session.
",R215.50
7,EVALUATION,
701,Evaluation/counselling at the first visit only (to be fully documented),R215.50
702,Complex evaluation/counselling at the first visit only (to be fully documented).,R430.50
703,One complete re-assessment of a patient's condition during the course of treatment. To be used only once per episode of care.,R215.50
704,Lung function: Peak flow (once per treatment).,R71.70
705,Computerised/Electronic test for lung pathology,R215.50
706,"Reports. To be used to motivate for therapy and/or give a progress report and/or a pre-authorisation report, where such a report is specifically required by the medical scheme.",R215.50
707,Physical Performance test. Must be fully documented.,R287.00
708,"Interview, guidance or consultation with the patient or his family. To be used only once per episode of care.",R215.50
720,"Essential continuation of physiotherapy care, in an after-hours situation. ( See general Rules on tariff codes 720 and 721)",R287.00
721,Emergency physiotherapy intervention ( See general Rules on tariff codes 720 and 721),R430.80
801,Electrical test for diagnostic purposes (including IT curve and Isokinetic tests) for a specific medical condition,R502.00
803,Effort test - multistage treadmill.,R502.00
8,VISITING CODES,
901,Treatment at a nursing home : Relevant fee plus (to be charged only once per day and not with every hospital visit,R143.80
903,Domicilliary treatments : Relevant fee plus.,R287.00
10,OTHER,
117,"Appointment not kept (schemes will not necessarily grant benefits in respect of this item, it will fall into the \""By arrangement with the scheme\"" or \""Patient own account\"" category).",R0.00
937,Bird or equivalent freestanding nebuliser excluding oxygen at hospital per day.,R143.80
938,Bird or equivalent freestanding nebuliser excluding oxygen domicilliary per day.,R143.80
939,"Cost of material: Items to be charged (exclusive of VAT) at net acquisition price plus -
26% of the net acquisition price where the net acquisition price of that material is less than one hundred rands; 
a maximum of twenty six rands where the net acquisition price of that material is greater than or equal to one hundred rands.", 
940,"Cost of appliances: Items to be charged (exclusive of VAT) at net acquisition price plus-
26% of the net acquisition price where the net acquisition price of that appliance is less than one hundred rands; 
a maximum of twenty six rands where the net acquisition price of that appliance is greater than or equal to one hundred rands.", 
941,Hiring equipment: 1% of the current replacement value of the equipment per day. Total charge not to exceed 50% of replacement value. Description of equipment to be supplied., 
,"Payment of this item is at the discretion of medical scheme concerned, and should be considered in instances where cost savings can be achieved. By prior arrangement with the medical scheme.", 
,General rules  on tariff code 720 and 721,
,"Indications for use of code 720 “essential continuation of physiotherapy care in after hours situation\""
This code may be used under the following circumstances where failure to provide the physiotherapy intervention might result in any or all of the following:
a) serious impairment to bodily functions
b) serious dysfunction of a bodily organ or part
c) reduced functional ability due to severe pain
d) would place the patient's life in serious jeopardy
e) increase of length of hospital stay
f) prolongation of expected recovery time

Explanation and use of “after-hours situation”
“After-hours situation” shall mean all physiotherapy interventions, where essential continuation of care is required in excess of ordinary working hours in the following circumstances:
a) Weekdays before 07:00 and after 17:00
b) Saturdays before and after the normal working hours of the practice 
c) Sundays and Public holidays
This code may not be charged in the following circumstances:
a) Where the physiotherapy appointment is scheduled for the convenience of the patient.
b) Where the physiotherapy appointment is scheduled for the convenience of the physiotherapist.
c) Where the ordinary outpatient consulting hours for the practice fall outside the above parameters.
d) In circumstances where the above criteria are not met the use of code 720 is not applicable.
Code 720 and 721 may not be charged together at the same single intervention.

CODE 721  – emergency physiotherapy intervention
Explanation and indications for use
Code 721 may only be used where an emergency physiotherapy intervention is provided. Emergency is defined as a sudden, and at the time, unexpected onset of a health condition or an unplanned event that requires immediate unscheduled physiotherapy intervention. Failure to provide the physiotherapy intervention immediately might result in any or all of the following: 
a) serious impairment to bodily functions 
b) serious dysfunction of a bodily organ or part 
c) reduced functional ability due to severe pain 
d) would place the patient's life in serious jeopardy 

In circumstances where the above criteria are not met the use of code 720 is not applicable. 

",
