"GEMS PROFESSIONAL FEES TARIFFS FOR ORTHOTICS & PROSTHETICS
WITH EFFECT FROM 2026-01-01",,,"
 087 - Orthotics & Prosthetics
"
Tariff code,Description,2026 Tariff Value,Flag
"Disclaimer: 
1. All Orthotic and Prosthetic tariff codes, NAPPI codes, and tariff rates are subject to Scheme rules, benefits, protocols, policies, and member/beneficiary available limits and sub-limits.
2. Pre- authorization and provider referral will be subject to a threshold, and this may include other codes as per the flag column where the Scheme deems necessary.",,,
10319,Knee brace - Rigid  ACL custom brace,,Authorisation and referral required  
10322,Post-op ROM brace - custom made,,Authorisation and referral required  
10325,Post-op knee extention lock,,Authorisation and referral required  
10328,Bi-valved full length moulded leg brace,,Authorisation and referral required  
10331,Caliper full length with knee hinges and spurs (excludes hinges and heel sockets),,Authorisation and referral required  
10334,Caliper full length with knee & ankle hinged and footplates (excludes hinges),,Authorisation and referral required  
10337,Caliper - AK straight (excluding heel socket),,Authorisation and referral required  
10343,"Caliper - KAFO weight bearing with knee joints, spurs etc",,Authorisation and referral required  
10346,Full leg brace - moulded to patient model -  no hinges ,,Authorisation and referral required  
10349,Full leg brace - moulded to patient model - hinged at knee (hinges not included),,Authorisation and referral required  
10352,"Full leg brace, including hip - moulded to patient model  ",,Authorisation and referral required  
10355,Genu valgum night splints,,Authorisation and referral required  
10358,Genu varum night splints,,Authorisation and referral required  
10361,Perthes A - frame,,Authorisation and referral required  
10364,Replace leather of calf\thigh band,,No authorisation and referral required  
10367,Knee cap square,,No authorisation and referral required  
10370,Knee cap long (KK),,No authorisation and referral required  
10372,"Scull cap, moulded to patient model",,Authorisation and referral required  
10373,"Cervical orthosis semi rigid,moulded to patient model ",,Authorisation and referral required  
10376,"Cervical orthosis plastizote, moulded to patient ",,Authorisation and referral required  
10379,Cervical Thoraco Lumbar Sacral moulded to patient model - Milwaukee brace,,Authorisation and referral required  
10382,Cervical Thoraco Lumbar Sacral moulded to patient model - Milwaukee brace - double curve,,Authorisation and referral required  
10385,Lumbo Sacral Orthosis moulded to patient model - Bennett's Brace,,Authorisation and referral required  
10388,Lumbo-sacral Orthosis moulded to patient model - Pantaloon brace,,Authorisation and referral required  
