"GEMS TARIFF FOR SERVICES BY OCCUPATIONAL THERAPISTS
WITH EFFECT FROM 2026-01-01",,066 - Occupational Therapists
301,"Group treatment in a task-centered activity, per patient (Treatment time 60 minutes or more).",R150.00
303,"Placement of a patient in an appropriate treatment situation requiring structuring the environment, adapting equipment and positioning the patient. This does not require individual attention for the whole treatment session, per patient)",R225.20
305,"Groups directed to achieve common aims, per patient) (Treatment time 60 minutes or more).",R300.00
307,"Simultaneous treatment of two to four patients each with specific problems, utilizing individual activities, per patient
Treatment time: 45-60 minutes",R300.00
308,"Simultaneous treatment with two to four neuro-behavioural and stress related conditions or severe head injury patients, each with specific problems, utilising individual activities, per patient (Treatment time 90 minutes or more)",R450.00
,Individual and undivided attention during treatment sessions utilising specific activity and/or techniques in an integrated treatment session,
309,On level one (15 minutes).,R150.00
311,On level two (30 minutes).,R300.00
313,On level three (45 minutes).,R450.00
315,On level four ( 60 minutes).,R599.90
317,On level five (90 minutes).,R749.90
319,On level six (120 minutes).,R899.80
4,PROCEDURES REQUIRED TO PROMOTE TREATMENT,
401,"Recommendations  with  regards  to  assistive devices, environmental adaptations, alternative / compensatory methods, handling the patient.
Time guideline: 7.5 – 15 minutes",R225.20
,"Designing and constructing a custom-made adaptation, assistive device, splint or simple pressure garment for treatment in a task-centered activity (specify the adaptation, assistive device, splint or simple pressure garment)",
403,On level one.,R150.00
405,On level two.,R300.00
407,On level three.,R450.00
409,On level four.,R599.90
411,On level five.,R749.90
413,On level six.,R899.80
415,Designing and constructing a static orthosis.,R899.80
417,Designing and constructing a dynamic orthosis.,"R1,799.60"
,Designing and constructing pressure garment for:,
419,Limb.,R899.80
421,Face (chin strap only).,R674.90
423,Face (full face mask).,R899.80
425,Trunk.,"R1,350.10"
427,Hand.,"R1,350.10"
,"The whole body or part thereof will be the sum total of the parts for the first garment and 76,4% of the fee for any additional garments made on the same pattern",
431,Planning and preparing in depth home programme on a monthly basis.,"R1,350.10"
434,Hiring equipment: 1% of the current replacement value of the equipment per day. Total charge not to exceed 50% of replacement value. Description of equipment to be supplied.,
,"Payment of this item is at the discretion of medical scheme concerned, and should be considered in instances where cost savings can be achieved. By prior arrangement with the medical scheme.",
,List of splints and pressure garments exempted from NAPPI codes,
,Annexure A,
,CODES AND DESCRIPTIONS OF SPLINTS TO BE USED WITH MODIFIER 0009,
701,Static finger extension/flexion splint,
702,Dynamic finger extension/flexion,
703,Buddy strap,
704,DIP/PIP flexion strap,
705,"MP, PIP, DIP flexion strap",
706,Hand based static finger extension/flexion,
707,Hand based static thumb extension/flexion/opposition/ abduction,
708,Hand based dynamic finger flexion/extension,
709,Hand based dynamic thumb flexion/extension/opposition/abduction,
710,Static wrist extension/flexion,
711,Dynamic wrist extension/flexion,
712,Flexion glove ,
713,Forearm based dynamic finger flexion/extension,
714,Forearm based dorsal protection,
715,Forearm based volar resting ,
716,Static elbow extension/flexion,
717,Dynamic elbow flexion/extension splint,
718,Shoulder abduction splint,
719,Static rigid neck splint,
720,Static soft neck splint/brace,
721,Static knee extension,
722,Static foot dorsiflexion,
,Annexure B,
,CODES AND DESCRIPTIONS OF PRESSURE GARMENTS TO BE USED WITH MODIFIER 0009,
801,Glove to wrist,
802,Glove to elbow,
803,Gauntlet (Glove with palm and thumb only),
804,Sleeve: Upper/forearm ,
805,Sleeve: full,
806,Vest + sleeves,
807,Sleeveless vest,
808,Upper leg,
809,Lower leg,
810,Full leg,
811,Pants (trunk and full legs),
812,Briefs,
813,Anklet,
814,Knee length stocking,
815,Chin strap,
816,Full face mask,
817,Neck only,
818,Finger sock,
,Annexure C,
,List of materials used in treatment under modifier 0010,
901,Therapeutic putty,
902,"Wood, leather, sisal",
903,Sponge,
904,Elastonet,
905,Silicon gel sheeting,
,Annexure D,
,ASSISTIVE DEVICES MADE BY THERAPIST TO BE USED WITH MODIFIER 0008,
,"NOTES:
These are not an all-inclusive list of assistive devices that can be made or recommended by occupational therapists. Based on the definitions in the NHRPL 2009, additional items have been specified. Items may be manufactured by the occupational therapist or acquired commercially and provided to the client. If items are not represented by these codes, NAPPI codes should be used for the items. Funders may not cover these codes under occupational therapy. In these cases, access external device benefits.",
1001,Hip abduction cushion,
1002,Sponge on a stick,
1003,Hand grips (for utensils),
1004,Bath bench,
1005,Bath seat,
1006,Transfer board,
1007,Plate surround,
1008,Wheelchair strap,
